ntsb_no,aircraft_key,ev_date,ev_month,ev_weekday,latitude,longitude,ev_city,ev_state,ev_country,inj_tot_f,inj_tot_s,ev_highest_injury,damage,far_part,acft_category,type_fly,CICTTEvent,CICTTPhase
CEN15FA282,1,6/27/2015,6,Saturday,394336N,0941645W,Cameron,MO,USA,1,0,FATL,SUBS,091 ,AIR ,ASHO,LOC-I,MNV
WPR15FA200,1,6/28/2015,6,Sunday,334920N,1172748W,Corona,CA,USA,1,1,FATL,DEST,091 ,AIR ,PERS,LOC-I,MNV
ERA15FA254,1,6/28/2015,6,Sunday,420111N,0712149W,Plainville,MA,USA,3,0,FATL,DEST,091 ,AIR ,PERS,SCF-PP,ENR
GAA15CA142,1,6/13/2015,6,Saturday,393631N,0770029W,Westminster,MD,USA,0,0,NONE,SUBS,091 ,AIR ,INST,ARC,LDG
GAA15CA141,1,6/25/2015,6,Thursday,412659N,0810347W,Middlefield,OH,USA,0,0,NONE,SUBS,091 ,GLI ,INST,LOC-I,MNV
ANC15CA042,1,6/27/2015,6,Saturday,611255N,1495020W,Anchorage,AK,USA,0,0,NONE,SUBS,135 ,AIR ,,LOC-G,LDG
GAA15CA143,1,7/17/2015,7,Friday,425124N,0834311W,Fenton,MI,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,SCF-PP,TOF
GAA15CA144,1,6/28/2015,6,Sunday,481027N,1033758W,Williston,ND,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,LOC-G,LDG
CEN15LA285,1,6/21/2015,6,Sunday,350306N,0932329W,Danville,AR,USA,0,0,NONE,SUBS,091 ,HELI,PERS,SCF-PP,MNV
GAA15CA145,1,6/28/2015,6,Sunday,433101N,1120412W,Idaho Falls,ID,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,GCOL,TXI
GAA15CA145,2,6/28/2015,6,Sunday,433101N,1120412W,Idaho Falls,ID,USA,0,0,NONE,MINR,091 ,AIR ,PERS,GCOL,TXI
CEN15LA286,1,6/29/2015,6,Monday,324124N,0963036E,Seagoville,TX,USA,0,0,NONE,SUBS,091 ,AIR ,PERS,SCF-PP,ENR
