PCA_1,PCA_2,ntsb_no,aircraft_key,ev_date,ev_month,ev_weekday,latitude,longitude,ev_city,ev_state,ev_country,inj_tot_f,inj_tot_s,ev_highest_injury,damage,far_part,acft_category,type_fly,CICTTEvent,CICTTPhase
0.324924931,0.66841523,CEN15LA392,1,8/31/2015,8,Monday,294834N,0954008W,Houston,TX,USA,0,0,NONE,SUBS,91,AIR ,INST,FUEL,ICL
0.822118163,-0.474008201,ERA15FA335,1,9/2/2015,9,Wednesday,355452N,0802744W,Advance,NC,USA,2,0,FATL,DEST,91,AIR ,PERS,LALT,MNV
-0.898415233,-0.321846027,GAA15CA246,1,8/30/2015,8,Sunday,413408N,0732744W,New Milford,CT,USA,0,0,NONE,SUBS,91,AIR ,PERS,LOC-G,LDG
0.178305328,-0.424860366,ERA15FA336,1,9/2/2015,9,Wednesday,355606N,0871509W,Bon Aqua,TN,USA,1,0,FATL,SUBS,91,AIR ,PERS,OTHR,ENR
0.369100452,0.660247692,WPR15FA256,1,9/3/2015,9,Thursday,324946N,1165919W,Santee,CA,USA,2,0,FATL,SUBS,91,AIR ,INST,SCF-PP,ICL
1.262807582,0.686372391,WPR15LA257,1,9/3/2015,9,Thursday,054300S,1660700W,Manra Island,PO,KR,1,1,FATL,DEST,91,HELI,AOBV,LALT,MNV
-0.874129293,-0.197601713,GAA15CA248,1,8/16/2015,8,Sunday,341534N,1182449W,Los Angeles,CA,USA,0,0,NONE,SUBS,91,AIR ,PERS,ARC,LDG
-0.900427778,-0.150680826,GAA15CA249,1,8/20/2015,8,Thursday,320649N,1105612W,Tucson,AZ,USA,0,0,NONE,SUBS,91,AIR ,PERS,LOC-G,LDG
1.301035489,0.785364667,CEN15LA399,1,8/26/2015,8,Wednesday,,,Hancock,WI,USA,1,0,FATL,DEST,137,AIR ,AAPL,SCF-NP,MNV
0.54729871,-0.200984345,ERA15LA339,1,9/5/2015,9,Saturday,433623N,0712710W,Laconia,NH,USA,1,0,FATL,SUBS,91,WSFT,PERS,LOC-I,MNV
0.914112386,-0.847921765,WPR15FA258,1,9/7/2015,9,Monday,435606N,1230032W,Creswell,OR,USA,2,0,FATL,DEST,91,AIR ,PERS,LOC-I,APR
0.913402094,-0.85236806,ERA15FA340,1,9/7/2015,9,Monday,360125N,0800405W,Kernersville,NC,USA,3,0,FATL,DEST,91,AIR ,PERS,LOC-I,APR
0.051010639,-0.520408692,ERA15LA342,1,9/5/2015,9,Saturday,253848N,0803339W,Miami,FL,USA,0,0,NONE,SUBS,91,AIR ,PERS,FUEL,APR
-0.878686239,-0.202367535,GAA15CA250,1,8/28/2015,8,Friday,301433N,0924955W,Welsh,LA,USA,0,0,NONE,SUBS,91,AIR ,PERS,LOC-G,LDG
0.6954844,-0.941054316,CEN15FA400,1,9/5/2015,9,Saturday,374543N,1075044W,Silverton,CO,USA,4,0,FATL,DEST,91,AIR ,PERS,CFIT,ENR
0.183289799,-0.515940878,CEN15LA404,1,9/5/2015,9,Saturday,315429N,1021203W,Midland,TX,USA,1,0,FATL,SUBS,91,AIR ,PERS,SCF-PP,ICL
0.326516684,-0.547966944,ERA15LA345,1,9/7/2015,9,Monday,302447N,0874060W,Foley,AL,USA,0,0,NONE,SUBS,91,AIR ,PERS,SCF-PP,ENR
0.63356411,-0.712219335,ERA15FA348,1,9/8/2015,9,Tuesday,403720N,0744024W,Somerset,NJ,USA,1,0,FATL,DEST,91,AIR ,PERS,AMAN,ICL
0.497513502,0.957418363,CEN15LA405,1,9/9/2015,9,Wednesday,405123N,0961300W,Elmwood,NE,USA,0,0,NONE,SUBS,137,AIR ,AAPL,CTOL,TOF
